id;avaliacao_id;municipio_id;ambito_gestao_id;comentario
1;1;13;1;Faltou realizar uma situação didática
2;1;14;1;O município precisa ainda fortalecer as práticas formativas.
3;1;14;2;Para os professores da Educação Infantil, não houve formação externa com o ICEP
4;1;14;3;Ainda precisamos fortalecer os acompanhamentos
5;1;14;4;No próximo ano iremos ampliar a formação para a Educação Infantil
6;1;15;1;Percebe-se uma qualificação nos acompanhamentos a partir das formações, entretanto ainda há muitos pontos a serem ajustados, como a periodicidade, foco, registro e feedback.
7;1;15;2;Todas as escolas tem o PIL elaborado, porém nem todas realizam as ações de fato com um cronograma anual e o projeto ainda conta com alguns equívocos.  Chegar em 2026 com a formação mais cedo. Chegamos já no II Semestre.
8;1;15;3;A realização de formação de professores pelo coordenador é uma prática fragilizada na rede. É uma dificuldade dos anos finais de realizar a formação dos professores, o horário é um dos complicadores. Os professores não se sentem "obrigados" a ir ao AC. O dia do AC é compreendido como dia "de folga". Secretária já fez comunicado e não muda. Realidade não é a mesma para Anos Iniciais e Educação infantil, onde somente alguns coordenadores não realizam.
9;1;15;4;Houve a escrita do Plano anual, mas ele passou por mudanças a partir das concepções que o Icep traz, esses estudos do novo plano ainda não foram concluídos.
10;1;15;5;Mais fortalecidos em umas escolas e menos em outras. Poucas escolas (por volta de 30%) trabalham com projetos e sequências. Foi tratado na formação. Mas as escolas mais presentes conseguiram fazer mais e melhor.  A escola tem dificuldade de integrar a formação e o currículo escolar.
11;1;15;6;Houve mudanças em virtude da formação externa,  das sequências didáticas em algumas escolas. Os professores que apresentavam resistência, hoje é possível notar a mudança na prática desses professores. Formação ajudou a modificar a prática.  Porém, não em todas as escolas.
12;1;16;1;Os acompanhamentos e monitoramentos precisam ser fortalecidos
13;1;16;2;O PIB ainda precisa intensificar, principalmente nas escolas da zona rural
14;1;16;3;Precisando intensificar os acompanhamentos diretos as salas de aula
15;1;16;4;Precisando ainda, assegurar em todas as escolas
16;1;16;6;Considerando a necessidade de um trabalho mais qualificado, em projeto interdisciplinares,  os anos finais precisam ainda, fortalecer as práticas sociais de leitura e escrita em todas as áreas
17;1;17;1;O processo de Formação de Iraquara aconteceu com encontros mensais de cada público.
18;1;17;3;Precisa seguir avançando no registro dos acompanhamentos de forma mais sistemática
19;1;17;4;A rede vem avançando nas rotinas que garantem as práticas sociais de leitura e escrita e do brincar.
20;1;17;5;É importante garantir o envio das situações didáticas no início do ano - a de entrada- e de saída -em setembro -, a fim de promover melhores aprendizagens. Outra ponto importante é seguir a mesma rubrica, não acrescentando novas questões que não articula com a ficha de tabulação.
21;1;18;1;Devido a quantidade de escolas da rede, não foi possível acompanhar com frequência. Porém, percebemos a necessidade de maiores investimentos nessa prática em 2026.
22;1;19;1;Em 2025 houve um avanço significativo nos acompanhamentos na rede.
